Vertex Index,Name,Id,PType,Section,Fault Set,Horizon,x,y,z,azimuth,dip,
1,Tunnel_Well_2,44,0,,,,1576.6208,-5847.6384,95.0724,,,
2,Tunnel_Well_2,44,0,,,,1576.3683,-5844.7523,95.0558,,,Tunnel_Well_1
3,Tunnel_Well_2,44,0,,,,1575.6184,-5841.9539,95.0396,,,Tunnel_Well_2
4,Tunnel_Well_2,44,0,,,,1574.394,-5839.3282,95.0244,,,Tunnel_Well_3
5,Tunnel_Well_2,44,0,,,,1572.7322,-5836.955,95.0107,,,Tunnel_Well_4
6,Tunnel_Well_2,44,0,,,,1570.6836,-5834.9064,94.9989,,,Tunnel_Well_5
7,Tunnel_Well_2,44,0,,,,1568.3104,-5833.2447,94.9893,,,Tunnel_Well_6
8,Tunnel_Well_2,44,0,,,,1565.6846,-5832.0203,94.9822,,,Tunnel_Well_7
9,Tunnel_Well_2,44,0,,,,1562.8862,-5831.2705,94.9779,,,Tunnel_Well_8
10,Tunnel_Well_2,44,0,,,,1560,-5831.018,94.9764,,,Tunnel_Well_9
11,Tunnel_Well_2,44,0,,,,1557.1138,-5831.2705,94.9779,,,Tunnel_Well_10
12,Tunnel_Well_2,44,0,,,,1554.3154,-5832.0203,94.9822,,,Tunnel_Well_11
13,Tunnel_Well_2,44,0,,,,1551.6896,-5833.2447,94.9893,,,Tunnel_Well_12
14,Tunnel_Well_2,44,0,,,,1549.3164,-5834.9064,94.9989,,,Tunnel_Well_13
15,Tunnel_Well_2,44,0,,,,1547.2678,-5836.955,95.0107,,,Tunnel_Well_14
16,Tunnel_Well_2,44,0,,,,1545.606,-5839.3282,95.0244,,,
17,Tunnel_Well_2,44,0,,,,1544.3816,-5841.9539,95.0396,,,
18,Tunnel_Well_2,44,0,,,,1543.6317,-5844.7523,95.0558,,,
19,Tunnel_Well_2,44,0,,,,1543.3792,-5847.6384,95.0724,,,
20,Tunnel_Well_2,44,0,,,,1543.6317,-5850.5246,95.0891,,,
21,Tunnel_Well_2,44,0,,,,1544.3816,-5853.323,95.1053,,,
22,Tunnel_Well_2,44,0,,,,1545.606,-5855.9487,95.1204,,,
23,Tunnel_Well_2,44,0,,,,1547.2678,-5858.3219,95.1342,,,
24,Tunnel_Well_2,44,0,,,,1549.3164,-5860.3705,95.146,,,
25,Tunnel_Well_2,44,0,,,,1551.6896,-5862.0322,95.1556,,,
26,Tunnel_Well_2,44,0,,,,1554.3154,-5863.2566,95.1627,,,
27,Tunnel_Well_2,44,0,,,,1557.1138,-5864.0064,95.167,,,
28,Tunnel_Well_2,44,0,,,,1560,-5864.2589,95.1684,,,
29,Tunnel_Well_2,44,0,,,,1562.8862,-5864.0064,95.167,,,
30,Tunnel_Well_2,44,0,,,,1565.6846,-5863.2566,95.1627,,,
31,Tunnel_Well_2,44,0,,,,1568.3104,-5862.0322,95.1556,,,
32,Tunnel_Well_2,44,0,,,,1570.6836,-5860.3705,95.146,,,
33,Tunnel_Well_2,44,0,,,,1572.7322,-5858.3219,95.1342,,,
34,Tunnel_Well_2,44,0,,,,1574.394,-5855.9487,95.1204,,,
35,Tunnel_Well_2,44,0,,,,1575.6184,-5853.323,95.1053,,,
36,Tunnel_Well_2,44,0,,,,1576.3683,-5850.5246,95.0891,,,
37,Tunnel_Well_2,44,0,,,,1576.6208,-5848.2486,-10.5603,,,
38,Tunnel_Well_2,44,0,,,,1576.3683,-5845.3625,-10.577,,,
39,Tunnel_Well_2,44,0,,,,1575.6184,-5842.5641,-10.5932,,,
40,Tunnel_Well_2,44,0,,,,1574.394,-5839.9384,-10.6083,,,
41,Tunnel_Well_2,44,0,,,,1572.7322,-5837.5652,-10.622,,,
42,Tunnel_Well_2,44,0,,,,1570.6836,-5835.5166,-10.6339,,,
43,Tunnel_Well_2,44,0,,,,1568.3104,-5833.8549,-10.6435,,,
44,Tunnel_Well_2,44,0,,,,1565.6846,-5832.6305,-10.6505,,,
45,Tunnel_Well_2,44,0,,,,1562.8862,-5831.8806,-10.6549,,,
46,Tunnel_Well_2,44,0,,,,1560,-5831.6281,-10.6563,,,
47,Tunnel_Well_2,44,0,,,,1557.1138,-5831.8806,-10.6549,,,
48,Tunnel_Well_2,44,0,,,,1554.3154,-5832.6305,-10.6505,,,
49,Tunnel_Well_2,44,0,,,,1551.6896,-5833.8549,-10.6435,,,
50,Tunnel_Well_2,44,0,,,,1549.3164,-5835.5166,-10.6339,,,
51,Tunnel_Well_2,44,0,,,,1547.2678,-5837.5652,-10.622,,,
52,Tunnel_Well_2,44,0,,,,1545.606,-5839.9384,-10.6083,,,
53,Tunnel_Well_2,44,0,,,,1544.3816,-5842.5641,-10.5932,,,
54,Tunnel_Well_2,44,0,,,,1543.6317,-5845.3625,-10.577,,,
55,Tunnel_Well_2,44,0,,,,1543.3792,-5848.2486,-10.5603,,,
56,Tunnel_Well_2,44,0,,,,1543.6317,-5851.1348,-10.5437,,,
57,Tunnel_Well_2,44,0,,,,1544.3816,-5853.9332,-10.5275,,,
58,Tunnel_Well_2,44,0,,,,1545.606,-5856.5589,-10.5123,,,
59,Tunnel_Well_2,44,0,,,,1547.2678,-5858.9321,-10.4986,,,
60,Tunnel_Well_2,44,0,,,,1549.3164,-5860.9807,-10.4868,,,
61,Tunnel_Well_2,44,0,,,,1551.6896,-5862.6424,-10.4772,,,
62,Tunnel_Well_2,44,0,,,,1554.3154,-5863.8668,-10.4701,,,
63,Tunnel_Well_2,44,0,,,,1557.1138,-5864.6166,-10.4658,,,
64,Tunnel_Well_2,44,0,,,,1560,-5864.8691,-10.4643,,,
65,Tunnel_Well_2,44,0,,,,1562.8862,-5864.6166,-10.4658,,,
66,Tunnel_Well_2,44,0,,,,1565.6846,-5863.8668,-10.4701,,,
67,Tunnel_Well_2,44,0,,,,1568.3104,-5862.6424,-10.4772,,,
68,Tunnel_Well_2,44,0,,,,1570.6836,-5860.9807,-10.4868,,,
69,Tunnel_Well_2,44,0,,,,1572.7322,-5858.9321,-10.4986,,,
70,Tunnel_Well_2,44,0,,,,1574.394,-5856.5589,-10.5123,,,
71,Tunnel_Well_2,44,0,,,,1575.6184,-5853.9332,-10.5275,,,
72,Tunnel_Well_2,44,0,,,,1576.3683,-5851.1348,-10.5437,,,
73,Tunnel_Well_2,44,0,,,,1576.6208,-5848.8588,-116.1931,,,
74,Tunnel_Well_2,44,0,,,,1576.3683,-5845.9727,-116.2098,,,
75,Tunnel_Well_2,44,0,,,,1575.6184,-5843.1743,-116.2259,,,
76,Tunnel_Well_2,44,0,,,,1574.394,-5840.5486,-116.2411,,,
77,Tunnel_Well_2,44,0,,,,1572.7322,-5838.1754,-116.2548,,,
78,Tunnel_Well_2,44,0,,,,1570.6836,-5836.1268,-116.2666,,,
79,Tunnel_Well_2,44,0,,,,1568.3104,-5834.4651,-116.2762,,,
80,Tunnel_Well_2,44,0,,,,1565.6846,-5833.2407,-116.2833,,,
81,Tunnel_Well_2,44,0,,,,1562.8862,-5832.4908,-116.2876,,,
82,Tunnel_Well_2,44,0,,,,1560,-5832.2383,-116.2891,,,
83,Tunnel_Well_2,44,0,,,,1557.1138,-5832.4908,-116.2876,,,
84,Tunnel_Well_2,44,0,,,,1554.3154,-5833.2407,-116.2833,,,
85,Tunnel_Well_2,44,0,,,,1551.6896,-5834.4651,-116.2762,,,
86,Tunnel_Well_2,44,0,,,,1549.3164,-5836.1268,-116.2666,,,
87,Tunnel_Well_2,44,0,,,,1547.2678,-5838.1754,-116.2548,,,
88,Tunnel_Well_2,44,0,,,,1545.606,-5840.5486,-116.2411,,,
89,Tunnel_Well_2,44,0,,,,1544.3816,-5843.1743,-116.2259,,,
90,Tunnel_Well_2,44,0,,,,1543.6317,-5845.9727,-116.2098,,,
91,Tunnel_Well_2,44,0,,,,1543.3792,-5848.8588,-116.1931,,,
92,Tunnel_Well_2,44,0,,,,1543.6317,-5851.7449,-116.1764,,,
93,Tunnel_Well_2,44,0,,,,1544.3816,-5854.5434,-116.1603,,,
94,Tunnel_Well_2,44,0,,,,1545.606,-5857.1691,-116.1451,,,
95,Tunnel_Well_2,44,0,,,,1547.2678,-5859.5423,-116.1314,,,
96,Tunnel_Well_2,44,0,,,,1549.3164,-5861.5909,-116.1195,,,
97,Tunnel_Well_2,44,0,,,,1551.6896,-5863.2526,-116.1099,,,
98,Tunnel_Well_2,44,0,,,,1554.3154,-5864.477,-116.1029,,,
99,Tunnel_Well_2,44,0,,,,1557.1138,-5865.2268,-116.0985,,,
100,Tunnel_Well_2,44,0,,,,1560,-5865.4793,-116.0971,,,
101,Tunnel_Well_2,44,0,,,,1562.8862,-5865.2268,-116.0985,,,
102,Tunnel_Well_2,44,0,,,,1565.6846,-5864.477,-116.1029,,,
103,Tunnel_Well_2,44,0,,,,1568.3104,-5863.2526,-116.1099,,,
104,Tunnel_Well_2,44,0,,,,1570.6836,-5861.5909,-116.1195,,,
105,Tunnel_Well_2,44,0,,,,1572.7322,-5859.5423,-116.1314,,,
106,Tunnel_Well_2,44,0,,,,1574.394,-5857.1691,-116.1451,,,
107,Tunnel_Well_2,44,0,,,,1575.6184,-5854.5434,-116.1603,,,
108,Tunnel_Well_2,44,0,,,,1576.3683,-5851.7449,-116.1764,,,
109,Tunnel_Well_2,44,0,,,,1576.6208,-5849.469,-221.8259,,,
110,Tunnel_Well_2,44,0,,,,1576.3683,-5846.5829,-221.8425,,,
111,Tunnel_Well_2,44,0,,,,1575.6184,-5843.7845,-221.8587,,,
112,Tunnel_Well_2,44,0,,,,1574.394,-5841.1588,-221.8739,,,
113,Tunnel_Well_2,44,0,,,,1572.7322,-5838.7856,-221.8876,,,
114,Tunnel_Well_2,44,0,,,,1570.6836,-5836.737,-221.8994,,,
115,Tunnel_Well_2,44,0,,,,1568.3104,-5835.0752,-221.909,,,
116,Tunnel_Well_2,44,0,,,,1565.6846,-5833.8509,-221.9161,,,
117,Tunnel_Well_2,44,0,,,,1562.8862,-5833.101,-221.9204,,,
118,Tunnel_Well_2,44,0,,,,1560,-5832.8485,-221.9219,,,
119,Tunnel_Well_2,44,0,,,,1557.1138,-5833.101,-221.9204,,,
120,Tunnel_Well_2,44,0,,,,1554.3154,-5833.8509,-221.9161,,,
121,Tunnel_Well_2,44,0,,,,1551.6896,-5835.0752,-221.909,,,
122,Tunnel_Well_2,44,0,,,,1549.3164,-5836.737,-221.8994,,,
123,Tunnel_Well_2,44,0,,,,1547.2678,-5838.7856,-221.8876,,,
124,Tunnel_Well_2,44,0,,,,1545.606,-5841.1588,-221.8739,,,
125,Tunnel_Well_2,44,0,,,,1544.3816,-5843.7845,-221.8587,,,
126,Tunnel_Well_2,44,0,,,,1543.6317,-5846.5829,-221.8425,,,
127,Tunnel_Well_2,44,0,,,,1543.3792,-5849.469,-221.8259,,,
128,Tunnel_Well_2,44,0,,,,1543.6317,-5852.3551,-221.8092,,,
129,Tunnel_Well_2,44,0,,,,1544.3816,-5855.1536,-221.793,,,
130,Tunnel_Well_2,44,0,,,,1545.606,-5857.7793,-221.7779,,,
131,Tunnel_Well_2,44,0,,,,1547.2678,-5860.1525,-221.7641,,,
132,Tunnel_Well_2,44,0,,,,1549.3164,-5862.2011,-221.7523,,,
133,Tunnel_Well_2,44,0,,,,1551.6896,-5863.8628,-221.7427,,,
134,Tunnel_Well_2,44,0,,,,1554.3154,-5865.0872,-221.7356,,,
135,Tunnel_Well_2,44,0,,,,1557.1138,-5865.837,-221.7313,,,
136,Tunnel_Well_2,44,0,,,,1560,-5866.0895,-221.7299,,,
137,Tunnel_Well_2,44,0,,,,1562.8862,-5865.837,-221.7313,,,
138,Tunnel_Well_2,44,0,,,,1565.6846,-5865.0872,-221.7356,,,
139,Tunnel_Well_2,44,0,,,,1568.3104,-5863.8628,-221.7427,,,
140,Tunnel_Well_2,44,0,,,,1570.6836,-5862.2011,-221.7523,,,
141,Tunnel_Well_2,44,0,,,,1572.7322,-5860.1525,-221.7641,,,
142,Tunnel_Well_2,44,0,,,,1574.394,-5857.7793,-221.7779,,,
143,Tunnel_Well_2,44,0,,,,1575.6184,-5855.1536,-221.793,,,
144,Tunnel_Well_2,44,0,,,,1576.3683,-5852.3551,-221.8092,,,
145,Tunnel_Well_2,44,0,,,,1576.6208,-5850.0792,-327.4586,,,
146,Tunnel_Well_2,44,0,,,,1576.3683,-5847.1931,-327.4753,,,
147,Tunnel_Well_2,44,0,,,,1575.6184,-5844.3947,-327.4915,,,
148,Tunnel_Well_2,44,0,,,,1574.394,-5841.769,-327.5066,,,
149,Tunnel_Well_2,44,0,,,,1572.7322,-5839.3958,-327.5203,,,
150,Tunnel_Well_2,44,0,,,,1570.6836,-5837.3472,-327.5322,,,
151,Tunnel_Well_2,44,0,,,,1568.3104,-5835.6854,-327.5418,,,
152,Tunnel_Well_2,44,0,,,,1565.6846,-5834.461,-327.5488,,,
153,Tunnel_Well_2,44,0,,,,1562.8862,-5833.7112,-327.5532,,,
154,Tunnel_Well_2,44,0,,,,1560,-5833.4587,-327.5546,,,
155,Tunnel_Well_2,44,0,,,,1557.1138,-5833.7112,-327.5532,,,
156,Tunnel_Well_2,44,0,,,,1554.3154,-5834.461,-327.5488,,,
157,Tunnel_Well_2,44,0,,,,1551.6896,-5835.6854,-327.5418,,,
158,Tunnel_Well_2,44,0,,,,1549.3164,-5837.3472,-327.5322,,,
159,Tunnel_Well_2,44,0,,,,1547.2678,-5839.3958,-327.5203,,,
160,Tunnel_Well_2,44,0,,,,1545.606,-5841.769,-327.5066,,,
161,Tunnel_Well_2,44,0,,,,1544.3816,-5844.3947,-327.4915,,,
162,Tunnel_Well_2,44,0,,,,1543.6317,-5847.1931,-327.4753,,,
163,Tunnel_Well_2,44,0,,,,1543.3792,-5850.0792,-327.4586,,,
164,Tunnel_Well_2,44,0,,,,1543.6317,-5852.9653,-327.442,,,
165,Tunnel_Well_2,44,0,,,,1544.3816,-5855.7637,-327.4258,,,
166,Tunnel_Well_2,44,0,,,,1545.606,-5858.3895,-327.4106,,,
167,Tunnel_Well_2,44,0,,,,1547.2678,-5860.7627,-327.3969,,,
168,Tunnel_Well_2,44,0,,,,1549.3164,-5862.8112,-327.3851,,,
169,Tunnel_Well_2,44,0,,,,1551.6896,-5864.473,-327.3755,,,
170,Tunnel_Well_2,44,0,,,,1554.3154,-5865.6974,-327.3684,,,
171,Tunnel_Well_2,44,0,,,,1557.1138,-5866.4472,-327.3641,,,
172,Tunnel_Well_2,44,0,,,,1560,-5866.6997,-327.3626,,,
173,Tunnel_Well_2,44,0,,,,1562.8862,-5866.4472,-327.3641,,,
174,Tunnel_Well_2,44,0,,,,1565.6846,-5865.6974,-327.3684,,,
175,Tunnel_Well_2,44,0,,,,1568.3104,-5864.473,-327.3755,,,
176,Tunnel_Well_2,44,0,,,,1570.6836,-5862.8112,-327.3851,,,
177,Tunnel_Well_2,44,0,,,,1572.7322,-5860.7627,-327.3969,,,
178,Tunnel_Well_2,44,0,,,,1574.394,-5858.3895,-327.4106,,,
179,Tunnel_Well_2,44,0,,,,1575.6184,-5855.7637,-327.4258,,,
180,Tunnel_Well_2,44,0,,,,1576.3683,-5852.9653,-327.442,,,
