Vertex Index,Name,Id,PType,Section,Fault Set,Horizon,x,y,z,azimuth,dip
,,,,,,Horizon_11,1560,-4920,-1.392,,
,,,,,,Horizon_11,1560,-5020.9417,2.9413,,
,,,,,,Horizon_11,1560,-5121.8833,7.2747,,
,,,,,,Horizon_11,1560,-5222.825,11.608,,
,,,,,,Horizon_11,1560,-5323.7666,15.9413,,
,,,,,,Horizon_11,1560,-5424.7083,20.2746,,
,,,,,,Horizon_11,1560,-5525.65,24.6079,,
,,,,,,Horizon_11,1560,-5626.5916,28.9412,,
,,,,,,Horizon_11,1560,-5727.5333,33.2745,,
,,,,,,Horizon_11,1560,-5828.4749,37.6078,,
,,,,,,Horizon_11,1560,-5929.4166,41.9411,,
,,,,,,Horizon_11,1560,-6030.3583,46.2744,,
,,,,,,Horizon_11,1560,-6131.2999,50.6077,,
,,,,,,Horizon_11,1560,-6232.2416,54.941,,
,,,,,,Horizon_11,1460,-4920,-0.6472,,
,,,,,,Horizon_11,1460,-5020.9417,3.4955,,
,,,,,,Horizon_11,1460,-5121.8833,7.6381,,
,,,,,,Horizon_11,1460,-5222.825,11.7808,,
,,,,,,Horizon_11,1460,-5323.7666,15.9235,,
,,,,,,Horizon_11,1460,-5424.7083,20.0662,,
,,,,,,Horizon_11,1460,-5525.65,24.2089,,
,,,,,,Horizon_11,1460,-5626.5916,28.3516,,
,,,,,,Horizon_11,1460,-5727.5333,32.4942,,
,,,,,,Horizon_11,1460,-5828.4749,36.6369,,
,,,,,,Horizon_11,1460,-5929.4166,40.7796,,
,,,,,,Horizon_11,1460,-6030.3583,44.9223,,
,,,,,,Horizon_11,1460,-6131.2999,49.065,,
,,,,,,Horizon_11,1460,-6232.2416,53.2077,,
,,,,,,Horizon_11,1660,-4920,-0.0663,,
,,,,,,Horizon_11,1660,-5020.9417,4.0217,,
,,,,,,Horizon_11,1660,-5121.8833,8.1098,,
,,,,,,Horizon_11,1660,-5222.825,12.1979,,
,,,,,,Horizon_11,1660,-5323.7666,16.2859,,
,,,,,,Horizon_11,1660,-5424.7083,20.374,,
,,,,,,Horizon_11,1660,-5525.65,24.4621,,
,,,,,,Horizon_11,1660,-5626.5916,28.5501,,
,,,,,,Horizon_11,1660,-5727.5333,32.6382,,
,,,,,,Horizon_11,1660,-5828.4749,36.7262,,
,,,,,,Horizon_11,1660,-5929.4166,40.8143,,
,,,,,,Horizon_11,1660,-6030.3583,44.9024,,
,,,,,,Horizon_11,1660,-6131.2999,48.9904,,
,,,,,,Horizon_11,1660,-6232.2416,53.0785,,
,,,,,,Outcrop_1,1540,-4920,-25.1573,,
,,,,,,Outcrop_1,1540,-4927.5182,-31.751,,
,,,,,,Outcrop_1,1540,-4935.0363,-38.3448,,
,,,,,,Outcrop_1,1540,-4942.5545,-44.9385,,
,,,,,,Outcrop_1,1540,-4950.0726,-51.5322,,
,,,,,,Outcrop_1,1540,-4958.7247,-56.4404,,
