Vertex Index,Name,Id,PType,Section,Fault Set,Horizon,x,y,z,azimuth,dip
1,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5211.7976,-11.2306,,
2,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5213.2754,-1.3404,,
3,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5214.7533,8.5498,,
4,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5216.2311,18.44,,
5,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5217.709,28.3302,,
6,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5219.1868,38.2204,,
7,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5220.6647,48.1106,,
8,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5222.1425,58.0008,,
9,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5223.6203,67.891,,
10,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5229.0878,76.2267,,
11,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5234.6909,84.5095,,
12,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5240.294,92.7924,,
13,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5246.8037,98.7789,,
14,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5256.554,96.5581,,
15,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5266.3043,94.3374,,
16,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5276.0546,92.1166,,
17,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5285.8049,89.8959,,
18,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5295.5552,87.6751,,
19,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5305.3055,85.4543,,
20,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5315.0558,83.2336,,
21,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5324.8061,81.0128,,
22,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5334.7777,80.9638,,
23,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5344.7755,81.1721,,
24,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5354.7733,81.3804,,
25,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5364.7712,81.5887,,
26,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5374.7597,81.9312,,
27,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5384.6908,83.103,,
28,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5394.6219,84.2748,,
29,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5404.553,85.4466,,
30,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5414.4841,86.6184,,
31,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5424.4152,87.7902,,
32,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5434.3463,88.962,,
33,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5443.226,86.9722,,
34,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5450.4772,80.086,,
35,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5457.7284,73.1998,,
36,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5464.9797,66.3137,,
37,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5472.2309,59.4275,,
38,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5479.4821,52.5413,,
39,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5486.7334,45.6551,,
40,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5493.9846,38.7689,,
41,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5501.2359,31.8827,,
42,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5508.4871,24.9965,,
43,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5515.7383,18.1103,,
44,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5522.9896,11.2242,,
45,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5530.2408,4.338,,
46,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5537.4594,-2.5824,,
47,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5544.6689,-9.5123,,
48,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5551.8783,-16.4422,,
49,Outcrop_2,121,0,Fold_111_outcrop,,Outcrop_2,1580,-5558.8066,-23.1019,,
1,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5212.3765,-11.1594,,
2,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5213.6297,-1.2382,,
3,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5214.8828,8.6829,,
4,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5216.136,18.6041,,
5,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5217.3891,28.5253,,
6,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5218.6423,38.4464,,
7,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5219.8954,48.3676,,
8,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5221.1486,58.2888,,
9,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5222.913,68.0016,,
10,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5228.952,75.9722,,
11,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5234.991,83.9427,,
12,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5241.0301,91.9133,,
13,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5249.2917,94.2251,,
14,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5259.1409,92.4948,,
15,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5268.99,90.7645,,
16,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5278.8392,89.0343,,
17,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5288.6884,87.304,,
18,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5298.5375,85.5738,,
19,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5308.3867,83.8435,,
20,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5318.2359,82.1132,,
21,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5328.119,80.8251,,
22,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5338.1168,81.0334,,
23,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5348.1146,81.2417,,
24,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5358.1125,81.45,,
25,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5368.1103,81.6583,,
26,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5378.1081,81.8666,,
27,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5388.0245,83.1041,,
28,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5397.9308,84.4702,,
29,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5407.837,85.8362,,
30,Outcrop_2,126,0,Fold_111_outcrop_2,,Outcrop_2,1540,-5417.7433,87.2023,,
