Vertex Index,Name,Id,PType,Section,Fault Set,Horizon,x,y,z,azimuth,dip
1,Tunnel_Well_3,40,0,,,,1576.6208,-5053.9104,-92.97,,
2,Tunnel_Well_3,40,0,,,,1576.3683,-5053.8461,-95.8555,,
3,Tunnel_Well_3,40,0,,,,1575.6184,-5053.7837,-98.6532,,
4,Tunnel_Well_3,40,0,,,,1574.394,-5053.7251,-101.2783,,
5,Tunnel_Well_3,40,0,,,,1572.7322,-5053.6722,-103.651,,
6,Tunnel_Well_3,40,0,,,,1570.6836,-5053.6266,-105.6991,,
7,Tunnel_Well_3,40,0,,,,1568.3104,-5053.5895,-107.3604,,
8,Tunnel_Well_3,40,0,,,,1565.6846,-5053.5622,-108.5845,,
9,Tunnel_Well_3,40,0,,,,1562.8862,-5053.5455,-109.3342,,
10,Tunnel_Well_3,40,0,,,,1560,-5053.5399,-109.5867,,
11,Tunnel_Well_3,40,0,,,,1557.1138,-5053.5455,-109.3342,,
12,Tunnel_Well_3,40,0,,,,1554.3154,-5053.5622,-108.5845,,
13,Tunnel_Well_3,40,0,,,,1551.6896,-5053.5895,-107.3604,,
14,Tunnel_Well_3,40,0,,,,1549.3164,-5053.6266,-105.6991,,
15,Tunnel_Well_3,40,0,,,,1547.2678,-5053.6722,-103.651,,
16,Tunnel_Well_3,40,0,,,,1545.606,-5053.7251,-101.2783,,
17,Tunnel_Well_3,40,0,,,,1544.3816,-5053.7837,-98.6532,,
18,Tunnel_Well_3,40,0,,,,1543.6317,-5053.8461,-95.8555,,
19,Tunnel_Well_3,40,0,,,,1543.3792,-5053.9104,-92.97,,
20,Tunnel_Well_3,40,0,,,,1543.6317,-5053.9747,-90.0846,,
21,Tunnel_Well_3,40,0,,,,1544.3816,-5054.0371,-87.2868,,
22,Tunnel_Well_3,40,0,,,,1545.606,-5054.0957,-84.6617,,
23,Tunnel_Well_3,40,0,,,,1547.2678,-5054.1486,-82.289,,
24,Tunnel_Well_3,40,0,,,,1549.3164,-5054.1942,-80.2409,,
25,Tunnel_Well_3,40,0,,,,1551.6896,-5054.2313,-78.5796,,
26,Tunnel_Well_3,40,0,,,,1554.3154,-5054.2586,-77.3555,,
27,Tunnel_Well_3,40,0,,,,1557.1138,-5054.2753,-76.6058,,
28,Tunnel_Well_3,40,0,,,,1560,-5054.2809,-76.3534,,
29,Tunnel_Well_3,40,0,,,,1562.8862,-5054.2753,-76.6058,,
30,Tunnel_Well_3,40,0,,,,1565.6846,-5054.2586,-77.3555,,
31,Tunnel_Well_3,40,0,,,,1568.3104,-5054.2313,-78.5796,,
32,Tunnel_Well_3,40,0,,,,1570.6836,-5054.1942,-80.2409,,
33,Tunnel_Well_3,40,0,,,,1572.7322,-5054.1486,-82.289,,
34,Tunnel_Well_3,40,0,,,,1574.394,-5054.0957,-84.6617,,
35,Tunnel_Well_3,40,0,,,,1575.6184,-5054.0371,-87.2868,,
36,Tunnel_Well_3,40,0,,,,1576.3683,-5053.9747,-90.0846,,
37,Tunnel_Well_3,40,0,,,,1576.6208,-5160.0791,-95.3374,,
38,Tunnel_Well_3,40,0,,,,1576.3683,-5160.0148,-98.2229,,
39,Tunnel_Well_3,40,0,,,,1575.6184,-5159.9524,-101.0207,,
40,Tunnel_Well_3,40,0,,,,1574.394,-5159.8938,-103.6457,,
41,Tunnel_Well_3,40,0,,,,1572.7322,-5159.8409,-106.0184,,
42,Tunnel_Well_3,40,0,,,,1570.6836,-5159.7953,-108.0665,,
43,Tunnel_Well_3,40,0,,,,1568.3104,-5159.7582,-109.7279,,
44,Tunnel_Well_3,40,0,,,,1565.6846,-5159.7309,-110.952,,
45,Tunnel_Well_3,40,0,,,,1562.8862,-5159.7142,-111.7016,,
46,Tunnel_Well_3,40,0,,,,1560,-5159.7086,-111.9541,,
