Vertex Index,Name,Id,PType,Section,Fault Set,Horizon,x,y,z,azimuth,dip
,,,,,,Tunnel_Well_1,1562,-5809.9511,90.2764,,
,,,,,,Tunnel_Well_1,1561.9696,-5809.6038,90.2734,,
,,,,,,Tunnel_Well_1,1561.8794,-5809.2671,90.2704,,
,,,,,,Tunnel_Well_1,1561.7321,-5808.9511,90.2676,,
,,,,,,Tunnel_Well_1,1561.5321,-5808.6656,90.2651,,
,,,,,,Tunnel_Well_1,1561.2856,-5808.4191,90.263,,
,,,,,,Tunnel_Well_1,1561,-5808.2191,90.2612,,
,,,,,,Tunnel_Well_1,1560.684,-5808.0718,90.2599,,
,,,,,,Tunnel_Well_1,1560.3473,-5807.9815,90.2591,,
,,,,,,Tunnel_Well_1,1560,-5807.9512,90.2589,,
,,,,,,Tunnel_Well_1,1559.6527,-5807.9815,90.2591,,
,,,,,,Tunnel_Well_1,1559.316,-5808.0718,90.2599,,
,,,,,,Tunnel_Well_1,1559,-5808.2191,90.2612,,
,,,,,,Tunnel_Well_1,1558.7144,-5808.4191,90.263,,
,,,,,,Tunnel_Well_1,1558.4679,-5808.6656,90.2651,,
,,,,,,Tunnel_Well_1,1558.2679,-5808.9511,90.2676,,
,,,,,,Tunnel_Well_1,1558.1206,-5809.2671,90.2704,,
,,,,,,Tunnel_Well_1,1558.0304,-5809.6038,90.2734,,
,,,,,,Tunnel_Well_1,1558,-5809.9511,90.2764,,
,,,,,,Tunnel_Well_1,1558.0304,-5810.2984,90.2795,,
,,,,,,Tunnel_Well_1,1558.1206,-5810.6351,90.2824,,
,,,,,,Tunnel_Well_1,1558.2679,-5810.951,90.2852,,
,,,,,,Tunnel_Well_1,1558.4679,-5811.2366,90.2877,,
,,,,,,Tunnel_Well_1,1558.7144,-5811.4831,90.2899,,
,,,,,,Tunnel_Well_1,1559,-5811.6831,90.2917,,
,,,,,,Tunnel_Well_1,1559.316,-5811.8304,90.293,,
,,,,,,Tunnel_Well_1,1559.6527,-5811.9206,90.2937,,
,,,,,,Tunnel_Well_1,1560,-5811.951,90.294,,
,,,,,,Tunnel_Well_1,1560.3473,-5811.9206,90.2937,,
,,,,,,Tunnel_Well_1,1560.684,-5811.8304,90.293,,
,,,,,,Tunnel_Well_1,1561,-5811.6831,90.2917,,
,,,,,,Tunnel_Well_1,1561.2856,-5811.4831,90.2899,,
,,,,,,Tunnel_Well_1,1561.5321,-5811.2366,90.2877,,
,,,,,,Tunnel_Well_1,1561.7321,-5810.951,90.2852,,
,,,,,,Tunnel_Well_1,1561.8794,-5810.6351,90.2824,,
,,,,,,Tunnel_Well_1,1561.9696,-5810.2984,90.2795,,
,,,,,,Tunnel_Well_1,1562,-5810.8526,-12.2768,,
,,,,,,Tunnel_Well_1,1561.9696,-5810.5053,-12.2798,,
,,,,,,Tunnel_Well_1,1561.8794,-5810.1686,-12.2828,,
,,,,,,Tunnel_Well_1,1561.7321,-5809.8526,-12.2855,,
,,,,,,Tunnel_Well_1,1561.5321,-5809.5671,-12.2881,,
,,,,,,Tunnel_Well_1,1561.2856,-5809.3206,-12.2902,,
,,,,,,Tunnel_Well_1,1561,-5809.1206,-12.292,,
,,,,,,Tunnel_Well_1,1560.684,-5808.9733,-12.2933,,
,,,,,,Tunnel_Well_1,1560.3473,-5808.883,-12.2941,,
,,,,,,Tunnel_Well_1,1560,-5808.8527,-12.2943,,
,,,,,,Tunnel_Well_1,1559.6527,-5808.883,-12.2941,,
,,,,,,Tunnel_Well_1,1559.316,-5808.9733,-12.2933,,
,,,,,,Tunnel_Well_1,1559,-5809.1206,-12.292,,
,,,,,,Tunnel_Well_1,1558.7144,-5809.3206,-12.2902,,
,,,,,,Tunnel_Well_1,1558.4679,-5809.5671,-12.2881,,
,,,,,,Tunnel_Well_1,1558.2679,-5809.8526,-12.2855,,
,,,,,,Tunnel_Well_1,1558.1206,-5810.1686,-12.2828,,
,,,,,,Tunnel_Well_1,1558.0304,-5810.5053,-12.2798,,
,,,,,,Tunnel_Well_1,1558,-5810.8526,-12.2768,,
,,,,,,Tunnel_Well_1,1558.0304,-5811.1999,-12.2737,,
,,,,,,Tunnel_Well_1,1558.1206,-5811.5366,-12.2707,,
,,,,,,Tunnel_Well_1,1558.2679,-5811.8525,-12.268,,
,,,,,,Tunnel_Well_1,1558.4679,-5812.1381,-12.2655,,
,,,,,,Tunnel_Well_1,1558.7144,-5812.3846,-12.2633,,
,,,,,,Tunnel_Well_1,1559,-5812.5846,-12.2615,,
,,,,,,Tunnel_Well_1,1559.316,-5812.7319,-12.2602,,
,,,,,,Tunnel_Well_1,1559.6527,-5812.8221,-12.2594,,
,,,,,,Tunnel_Well_1,1560,-5812.8525,-12.2592,,
,,,,,,Tunnel_Well_1,1560.3473,-5812.8221,-12.2594,,
,,,,,,Tunnel_Well_1,1560.684,-5812.7319,-12.2602,,
,,,,,,Tunnel_Well_1,1561,-5812.5846,-12.2615,,
,,,,,,Tunnel_Well_1,1561.2856,-5812.3846,-12.2633,,
,,,,,,Tunnel_Well_1,1561.5321,-5812.1381,-12.2655,,
,,,,,,Tunnel_Well_1,1561.7321,-5811.8525,-12.268,,
,,,,,,Tunnel_Well_1,1561.8794,-5811.5366,-12.2707,,
,,,,,,Tunnel_Well_1,1561.9696,-5811.1999,-12.2737,,
,,,,,,Tunnel_Well_1,1562,-5811.7541,-114.8299,,
,,,,,,Tunnel_Well_1,1561.9696,-5811.4068,-114.833,,
,,,,,,Tunnel_Well_1,1561.8794,-5811.0701,-114.8359,,
,,,,,,Tunnel_Well_1,1561.7321,-5810.7541,-114.8387,,
,,,,,,Tunnel_Well_1,1561.5321,-5810.4686,-114.8412,,
,,,,,,Tunnel_Well_1,1561.2856,-5810.222,-114.8434,,
,,,,,,Tunnel_Well_1,1561,-5810.0221,-114.8452,,
,,,,,,Tunnel_Well_1,1560.684,-5809.8748,-114.8465,,
,,,,,,Tunnel_Well_1,1560.3473,-5809.7845,-114.8472,,
,,,,,,Tunnel_Well_1,1560,-5809.7542,-114.8475,,
,,,,,,Tunnel_Well_1,1559.6527,-5809.7845,-114.8472,,
,,,,,,Tunnel_Well_1,1559.316,-5809.8748,-114.8465,,
,,,,,,Tunnel_Well_1,1559,-5810.0221,-114.8452,,
,,,,,,Tunnel_Well_1,1558.7144,-5810.222,-114.8434,,
,,,,,,Tunnel_Well_1,1558.4679,-5810.4686,-114.8412,,
,,,,,,Tunnel_Well_1,1558.2679,-5810.7541,-114.8387,,
,,,,,,Tunnel_Well_1,1558.1206,-5811.0701,-114.8359,,
,,,,,,Tunnel_Well_1,1558.0304,-5811.4068,-114.833,,
,,,,,,Tunnel_Well_1,1558,-5811.7541,-114.8299,,
,,,,,,Tunnel_Well_1,1558.0304,-5812.1014,-114.8269,,
,,,,,,Tunnel_Well_1,1558.1206,-5812.4381,-114.8239,,
,,,,,,Tunnel_Well_1,1558.2679,-5812.754,-114.8211,,
,,,,,,Tunnel_Well_1,1558.4679,-5813.0396,-114.8186,,
,,,,,,Tunnel_Well_1,1558.7144,-5813.2861,-114.8165,,
,,,,,,Tunnel_Well_1,1559,-5813.4861,-114.8147,,
,,,,,,Tunnel_Well_1,1559.316,-5813.6334,-114.8134,,
,,,,,,Tunnel_Well_1,1559.6527,-5813.7236,-114.8126,,
,,,,,,Tunnel_Well_1,1560,-5813.754,-114.8124,,
,,,,,,Tunnel_Well_1,1560.3473,-5813.7236,-114.8126,,
,,,,,,Tunnel_Well_1,1560.684,-5813.6334,-114.8134,,
,,,,,,Tunnel_Well_1,1561,-5813.4861,-114.8147,,
,,,,,,Tunnel_Well_1,1561.2856,-5813.2861,-114.8165,,
,,,,,,Tunnel_Well_1,1561.5321,-5813.0396,-114.8186,,
,,,,,,Tunnel_Well_1,1561.7321,-5812.754,-114.8211,,
,,,,,,Tunnel_Well_1,1561.8794,-5812.4381,-114.8239,,
,,,,,,Tunnel_Well_1,1561.9696,-5812.1014,-114.8269,,
,,,,,,Tunnel_Well_1,1562,-5812.6556,-217.3831,,
,,,,,,Tunnel_Well_1,1561.9696,-5812.3083,-217.3862,,
,,,,,,Tunnel_Well_1,1561.8794,-5811.9716,-217.3891,,
,,,,,,Tunnel_Well_1,1561.7321,-5811.6556,-217.3919,,
,,,,,,Tunnel_Well_1,1561.5321,-5811.3701,-217.3944,,
,,,,,,Tunnel_Well_1,1561.2856,-5811.1235,-217.3966,,
,,,,,,Tunnel_Well_1,1561,-5810.9236,-217.3983,,
,,,,,,Tunnel_Well_1,1560.684,-5810.7763,-217.3996,,
,,,,,,Tunnel_Well_1,1560.3473,-5810.686,-217.4004,,
,,,,,,Tunnel_Well_1,1560,-5810.6557,-217.4007,,
,,,,,,Tunnel_Well_1,1559.6527,-5810.686,-217.4004,,
,,,,,,Tunnel_Well_1,1559.316,-5810.7763,-217.3996,,
,,,,,,Tunnel_Well_1,1559,-5810.9236,-217.3983,,
,,,,,,Tunnel_Well_1,1558.7144,-5811.1235,-217.3966,,
,,,,,,Tunnel_Well_1,1558.4679,-5811.3701,-217.3944,,
,,,,,,Tunnel_Well_1,1558.2679,-5811.6556,-217.3919,,
,,,,,,Tunnel_Well_1,1558.1206,-5811.9716,-217.3891,,
,,,,,,Tunnel_Well_1,1558.0304,-5812.3083,-217.3862,,
,,,,,,Tunnel_Well_1,1558,-5812.6556,-217.3831,,
,,,,,,Tunnel_Well_1,1558.0304,-5813.0029,-217.3801,,
,,,,,,Tunnel_Well_1,1558.1206,-5813.3396,-217.3771,,
,,,,,,Tunnel_Well_1,1558.2679,-5813.6555,-217.3743,,
,,,,,,Tunnel_Well_1,1558.4679,-5813.9411,-217.3718,,
,,,,,,Tunnel_Well_1,1558.7144,-5814.1876,-217.3697,,
,,,,,,Tunnel_Well_1,1559,-5814.3876,-217.3679,,
,,,,,,Tunnel_Well_1,1559.316,-5814.5349,-217.3666,,
,,,,,,Tunnel_Well_1,1559.6527,-5814.6251,-217.3658,,
,,,,,,Tunnel_Well_1,1560,-5814.6555,-217.3655,,
,,,,,,Tunnel_Well_1,1560.3473,-5814.6251,-217.3658,,
,,,,,,Tunnel_Well_1,1560.684,-5814.5349,-217.3666,,
,,,,,,Tunnel_Well_1,1561,-5814.3876,-217.3679,,
,,,,,,Tunnel_Well_1,1561.2856,-5814.1876,-217.3697,,
,,,,,,Tunnel_Well_1,1561.5321,-5813.9411,-217.3718,,
,,,,,,Tunnel_Well_1,1561.7321,-5813.6555,-217.3743,,
,,,,,,Tunnel_Well_1,1561.8794,-5813.3396,-217.3771,,
,,,,,,Tunnel_Well_1,1561.9696,-5813.0029,-217.3801,,
,,,,,,Tunnel_Well_1,1562,-5813.5571,-319.9363,,
,,,,,,Tunnel_Well_1,1561.9696,-5813.2098,-319.9394,,
,,,,,,Tunnel_Well_1,1561.8794,-5812.8731,-319.9423,,
,,,,,,Tunnel_Well_1,1561.7321,-5812.5571,-319.9451,,
,,,,,,Tunnel_Well_1,1561.5321,-5812.2716,-319.9476,,
,,,,,,Tunnel_Well_1,1561.2856,-5812.025,-319.9498,,
,,,,,,Tunnel_Well_1,1561,-5811.8251,-319.9515,,
,,,,,,Tunnel_Well_1,1560.684,-5811.6778,-319.9528,,
,,,,,,Tunnel_Well_1,1560.3473,-5811.5875,-319.9536,,
,,,,,,Tunnel_Well_1,1560,-5811.5572,-319.9539,,
,,,,,,Tunnel_Well_1,1559.6527,-5811.5875,-319.9536,,
,,,,,,Tunnel_Well_1,1559.316,-5811.6778,-319.9528,,
,,,,,,Tunnel_Well_1,1559,-5811.8251,-319.9515,,
,,,,,,Tunnel_Well_1,1558.7144,-5812.025,-319.9498,,
,,,,,,Tunnel_Well_1,1558.4679,-5812.2716,-319.9476,,
,,,,,,Tunnel_Well_1,1558.2679,-5812.5571,-319.9451,,
,,,,,,Tunnel_Well_1,1558.1206,-5812.8731,-319.9423,,
,,,,,,Tunnel_Well_1,1558.0304,-5813.2098,-319.9394,,
,,,,,,Tunnel_Well_1,1558,-5813.5571,-319.9363,,
,,,,,,Tunnel_Well_1,1558.0304,-5813.9044,-319.9333,,
,,,,,,Tunnel_Well_1,1558.1206,-5814.2411,-319.9303,,
,,,,,,Tunnel_Well_1,1558.2679,-5814.557,-319.9275,,
,,,,,,Tunnel_Well_1,1558.4679,-5814.8426,-319.925,,
,,,,,,Tunnel_Well_1,1558.7144,-5815.0891,-319.9228,,
,,,,,,Tunnel_Well_1,1559,-5815.2891,-319.9211,,
,,,,,,Tunnel_Well_1,1559.316,-5815.4364,-319.9198,,
,,,,,,Tunnel_Well_1,1559.6527,-5815.5266,-319.919,,
,,,,,,Tunnel_Well_1,1560,-5815.557,-319.9187,,
,,,,,,Tunnel_Well_1,1560.3473,-5815.5266,-319.919,,
,,,,,,Tunnel_Well_1,1560.684,-5815.4364,-319.9198,,
,,,,,,Tunnel_Well_1,1561,-5815.2891,-319.9211,,
,,,,,,Tunnel_Well_1,1561.2856,-5815.0891,-319.9228,,
,,,,,,Tunnel_Well_1,1561.5321,-5814.8426,-319.925,,
,,,,,,Tunnel_Well_1,1561.7321,-5814.557,-319.9275,,
,,,,,,Tunnel_Well_1,1561.8794,-5814.2411,-319.9303,,
,,,,,,Tunnel_Well_1,1561.9696,-5813.9044,-319.9333,,
,,,,,,Tunnel_Well_1,1562,-5814.4586,-422.4895,,
,,,,,,Tunnel_Well_1,1561.9696,-5814.1113,-422.4925,,
,,,,,,Tunnel_Well_1,1561.8794,-5813.7746,-422.4955,,
,,,,,,Tunnel_Well_1,1561.7321,-5813.4586,-422.4983,,
,,,,,,Tunnel_Well_1,1561.5321,-5813.1731,-422.5008,,
,,,,,,Tunnel_Well_1,1561.2856,-5812.9265,-422.503,,
,,,,,,Tunnel_Well_1,1561,-5812.7266,-422.5047,,
,,,,,,Tunnel_Well_1,1560.684,-5812.5793,-422.506,,
,,,,,,Tunnel_Well_1,1560.3473,-5812.489,-422.5068,,
,,,,,,Tunnel_Well_1,1560,-5812.4587,-422.5071,,
,,,,,,Tunnel_Well_1,1559.6527,-5812.489,-422.5068,,
,,,,,,Tunnel_Well_1,1559.316,-5812.5793,-422.506,,
,,,,,,Tunnel_Well_1,1559,-5812.7266,-422.5047,,
,,,,,,Tunnel_Well_1,1558.7144,-5812.9265,-422.503,,
,,,,,,Tunnel_Well_1,1558.4679,-5813.1731,-422.5008,,
,,,,,,Tunnel_Well_1,1558.2679,-5813.4586,-422.4983,,
,,,,,,Tunnel_Well_1,1558.1206,-5813.7746,-422.4955,,
,,,,,,Tunnel_Well_1,1558.0304,-5814.1113,-422.4925,,
,,,,,,Tunnel_Well_1,1558,-5814.4586,-422.4895,,
,,,,,,Tunnel_Well_1,1558.0304,-5814.8059,-422.4864,,
,,,,,,Tunnel_Well_1,1558.1206,-5815.1426,-422.4835,,
,,,,,,Tunnel_Well_1,1558.2679,-5815.4585,-422.4807,,
,,,,,,Tunnel_Well_1,1558.4679,-5815.7441,-422.4782,,
,,,,,,Tunnel_Well_1,1558.7144,-5815.9906,-422.476,,
,,,,,,Tunnel_Well_1,1559,-5816.1906,-422.4743,,
,,,,,,Tunnel_Well_1,1559.316,-5816.3379,-422.473,,
,,,,,,Tunnel_Well_1,1559.6527,-5816.4281,-422.4722,,
,,,,,,Tunnel_Well_1,1560,-5816.4585,-422.4719,,
