x,y,z,Name
132.8476,4,-273.1887,Tunnel_Well
132.8918,3.9392,-273.8819,Tunnel_Well
132.9346,3.7588,-274.554,Tunnel_Well
132.9748,3.4641,-275.1847,Tunnel_Well
133.0111,3.0642,-275.7547,Tunnel_Well
133.0425,2.5712,-276.2467,Tunnel_Well
133.0679,2,-276.6458,Tunnel_Well
133.0867,1.3681,-276.9399,Tunnel_Well
133.0981,0.6946,-277.12,Tunnel_Well
133.102,0,-277.1806,Tunnel_Well
133.0981,-0.6946,-277.12,Tunnel_Well
133.0867,-1.3681,-276.9399,Tunnel_Well
133.0679,-2,-276.6458,Tunnel_Well
133.0425,-2.5712,-276.2467,Tunnel_Well
133.0111,-3.0642,-275.7547,Tunnel_Well
132.9748,-3.4641,-275.1847,Tunnel_Well
132.9346,-3.7588,-274.554,Tunnel_Well
132.8918,-3.9392,-273.8819,Tunnel_Well
132.8476,-4,-273.1887,Tunnel_Well
132.8034,-3.9392,-272.4955,Tunnel_Well
132.7606,-3.7588,-271.8234,Tunnel_Well
132.7204,-3.4641,-271.1928,Tunnel_Well
132.6841,-3.0642,-270.6228,Tunnel_Well
132.6527,-2.5712,-270.1308,Tunnel_Well
132.6273,-2,-269.7316,Tunnel_Well
132.6086,-1.3681,-269.4376,Tunnel_Well
132.5971,-0.6946,-269.2575,Tunnel_Well
132.5932,0,-269.1968,Tunnel_Well
132.5971,0.6946,-269.2575,Tunnel_Well
132.6086,1.3681,-269.4376,Tunnel_Well
132.6273,2,-269.7316,Tunnel_Well
132.6527,2.5712,-270.1308,Tunnel_Well
132.6841,3.0642,-270.6228,Tunnel_Well
132.7204,3.4641,-271.1928,Tunnel_Well
132.7606,3.7588,-271.8234,Tunnel_Well
132.8034,3.9392,-272.4955,Tunnel_Well
237.2067,4,-266.5384,Tunnel_Well
237.2509,3.9392,-267.2316,Tunnel_Well
237.2937,3.7588,-267.9037,Tunnel_Well
237.3339,3.4641,-268.5343,Tunnel_Well
