x,y,z,Name,Id,Vertex Index,PType
2200.0,1007.9831,48.5031,Rectangle,20,1,0
2200.0,1007.9831,298.5031,Rectangle,20,2,0
2200.0,1257.9831,298.5031,Rectangle,20,3,0
2200.0,1257.9831,48.5031,Rectangle,20,4,0
2300.0,1007.9831,48.5031,Rectangle,20,5,0
2300.0,1007.9831,298.5031,Rectangle,20,6,0
2300.0,1257.9831,298.5031,Rectangle,20,7,0
2300.0,1257.9831,48.5031,Rectangle,20,8,0
2400.0,1007.9831,48.5031,Rectangle,20,9,0
2400.0,1007.9831,298.5031,Rectangle,20,10,0
2400.0,1257.9831,298.5031,Rectangle,20,11,0
2400.0,1257.9831,48.5031,Rectangle,20,12,0
