x	y	z	Name	Id	Vertex Index	PType
707.5000	3868.3207	66.1856	Tunnel_Well	98	1	0
707.3861	3868.3026	64.8833	Tunnel_Well	98	2	0
707.0477	3868.2851	63.6207	Tunnel_Well	98	3	0
706.4952	3868.2686	62.4359	Tunnel_Well	98	4	0
705.7453	3868.2537	61.3651	Tunnel_Well	98	5	0
704.8209	3868.2409	60.4408	Tunnel_Well	98	6	0
703.7500	3868.2305	59.6910	Tunnel_Well	98	7	0
702.5652	3868.2228	59.1386	Tunnel_Well	98	8	0
701.3024	3868.2181	58.8002	Tunnel_Well	98	9	0
700.0000	3868.2165	58.6863	Tunnel_Well	98	10	0
698.6976	3868.2181	58.8002	Tunnel_Well	98	11	0
697.4348	3868.2228	59.1386	Tunnel_Well	98	12	0
696.2500	3868.2305	59.6910	Tunnel_Well	98	13	0
695.1791	3868.2409	60.4408	Tunnel_Well	98	14	0
694.2547	3868.2537	61.3651	Tunnel_Well	98	15	0
693.5048	3868.2686	62.4359	Tunnel_Well	98	16	0
692.9523	3868.2851	63.6207	Tunnel_Well	98	17	0
692.6139	3868.3026	64.8833	Tunnel_Well	98	18	0
692.5000	3868.3207	66.1856	Tunnel_Well	98	19	0
692.6139	3868.3388	67.4878	Tunnel_Well	98	20	0
692.9523	3868.3563	68.7505	Tunnel_Well	98	21	0
693.5048	3868.3728	69.9352	Tunnel_Well	98	22	0
694.2547	3868.3877	71.0060	Tunnel_Well	98	23	0
695.1791	3868.4005	71.9303	Tunnel_Well	98	24	0
696.2500	3868.4109	72.6801	Tunnel_Well	98	25	0
697.4348	3868.4186	73.2326	Tunnel_Well	98	26	0
698.6976	3868.4233	73.5709	Tunnel_Well	98	27	0
700.0000	3868.4249	73.6848	Tunnel_Well	98	28	0
701.3024	3868.4233	73.5709	Tunnel_Well	98	29	0
702.5652	3868.4186	73.2326	Tunnel_Well	98	30	0
703.7500	3868.4109	72.6801	Tunnel_Well	98	31	0
704.8209	3868.4005	71.9303	Tunnel_Well	98	32	0
705.7453	3868.3877	71.0060	Tunnel_Well	98	33	0
706.4952	3868.3728	69.9352	Tunnel_Well	98	34	0
707.0477	3868.3563	68.7505	Tunnel_Well	98	35	0
707.3861	3868.3388	67.4878	Tunnel_Well	98	36	0
707.5000	3838.3236	66.6024	Tunnel_Well	98	37	0
707.3861	3838.3055	65.3001	Tunnel_Well	98	38	0
707.0477	3838.2880	64.0374	Tunnel_Well	98	39	0
706.4952	3838.2715	62.8527	Tunnel_Well	98	40	0
