x,y,z,Name,Id,Vertex Index,PType
600.0,3624.7868,248.8001,Rectangle,72,1,0
600.0,3624.7868,348.8001,Rectangle,72,2,0
600.0,3724.7868,348.8001,Rectangle,72,3,0
600.0,3724.7868,248.8001,Rectangle,72,4,0
700.0,3624.7868,248.8001,Rectangle,72,5,0
700.0,3624.7868,348.8001,Rectangle,72,6,0
700.0,3724.7868,348.8001,Rectangle,72,7,0
700.0,3724.7868,248.8001,Rectangle,72,8,0
650.0,3624.7868,348.8001,Rectangle,72,9,0
650.0,3724.7868,348.8001,Rectangle,72,10,0
650.0,3724.7868,248.8001,Rectangle,72,11,0
650.0,3624.7868,248.8001,Rectangle,72,12,0
800.0,3624.7868,248.8001,Rectangle,72,13,0
800.0,3624.7868,348.8001,Rectangle,72,14,0
800.0,3724.7868,348.8001,Rectangle,72,15,0
800.0,3724.7868,248.8001,Rectangle,72,16,0
750.0,3624.7868,348.8001,Rectangle,72,17,0
750.0,3724.7868,348.8001,Rectangle,72,18,0
750.0,3724.7868,248.8001,Rectangle,72,19,0
750.0,3624.7868,248.8001,Rectangle,72,20,0
