Horizon,Level-2,Level-3,Level_4
T,1329.793123,8603.402897,7564.200648
Q,4376.988968,12711.03015,10284.10406
N,1832.8397,1037.603207,607.897681
F,17973.19503,15100.76161,15524.87987
F-2,1604.653289,0,0
Zo2,45562.61928,16106.66816,14772.90991
Zo8,45394.05199,16923.88977,22639.19786
La,16195.0834,3068.650315,2425.676135
Gu,42691.96335,22630.81364,33713.30912
Ma,36153.72266,25174.68169,46554.20254
Hu,33617.85134,27991.57696,46063.75594
Ka,33859.899,28191.31885,55449.21672
Er,29057.37324,24996.60839,66551.18099
Pr,34681.43425,15452.67586,87367.87615
Di,27717.05771,22379.994,84762.87681
So,40628.3653,15140.38703,85382.32334
Gi5,35434.60307,30304.25987,85548.36482
Fi,37270.18189,38892.3219,80935.11752
Ge1,2570.769223,0,80.650188
Kr-2,610.735594,0,0
Mg,12202.71521,33213.34414,102754.6937
Sb,7217.85281,13473.16012,116055.0774
Hf,734.582922,756.830324,79338.3949
Wb,621.68006,150.04379,80116.81156
Gs,0,0,25056.90103
