Horizon,Proven-1,Presumed-1,Surf Interpre-1,throw_>_50m_1,throw_<_50m_1,Proven-2,Presumed-2,Surf Interpre-2,throw_>_50m_2,throw_<_50m_2,Proven-3,Presumed-3,Surf Interpre-3,throw_>_50m_3,throw_<_50m_3,Proven-4,Presumed-4,Surf Interpre-4,throw_>_50m_4,throw_<_50m_4,Proven-5,Presumed-5,Surf Interpre-5,throw_>_50m_5,throw_<_50m_5,Proven-6,Presumed-6,Surf Interpre-6,throw_>_50m_6,throw_<_50m_6,Proven-7,Presumed-7,Surf Interpre-7,throw_>_50m_7,throw_<_50m_7,Proven-8,Presumed-8,Surf Interpre-8,throw_>_50m_8,throw_<_50m_8,Proven-9,Presumed-9,Surf Interpre-9,throw_>_50m_9,throw_<_50m_9,Proven-10,Presumed-10,Surf Interpre-10,throw_>_50m_10,throw_<_50m_10,Proven-11,Presumed-11,Surf Interpre-11,throw_>_50m_11,throw_<_50m_11,Proven-12,Presumed-12,Surf Interpre-12,throw_>_50m_12,throw_<_50m_12
Ground surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erosion surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,1,,,,,,0,1,0,0,1,2,0,0,1,1
Q,,,,,,,,,,,,,,,,1,0,0,0,1,,,,,,,,,,,2,0,0,0,2,2,0,0,0,2,4,0,0,1,3,2,0,0,0,2,1,0,0,1,0,2,0,0,1,1
Q-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,5,,,,,,12,0,0,0,12,,,,,,,,,,,,,,,
F,3,0,,0,3,,,,,,2,0,0,0,2,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,5,1,0,0,6,0,2,0,1,1,12,0,0,2,10,4,3,0,2,7,8,5,0,1,12,5,0,0,4,1
F-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-2,,,,,,,,,,,3,0,0,0,3,,,,,,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zo2,6,0,,0,6,6,0,,0,6,7,0,0,0,7,3,1,0,0,4,12,0,0,0,12,11,0,0,0,11,11,2,0,1,12,13,1,0,1,13,5,1,0,2,4,8,1,0,3,6,12,3,0,5,10,29,1,0,4,26
Zo8,3,0,,0,3,3,0,,0,3,4,0,0,0,4,0,2,0,0,2,13,0,0,3,10,15,0,0,3,12,6,2,0,3,5,10,2,0,1,11,3,3,0,2,4,12,2,0,3,11,12,2,0,3,14,12,1,0,5,8
La,,,,,,,,,,,5,0,0,0,5,1,0,0,0,1,11,0,0,4,7,14,0,0,1,13,5,3,0,1,8,9,2,0,0,11,2,2,0,1,3,,,,,,,,,,,,,,,
Gu,6,2,,0,8,5,1,,1,5,1,1,0,0,2,6,0,0,2,4,19,1,0,3,17,14,0,0,3,11,24,3,0,2,25,1,5,0,1,5,4,5,0,4,5,14,2,0,3,13,6,4,0,4,6,14,3,0,4,13
Ma,10,2,,0,12,4,0,,0,4,5,1,0,0,6,6,0,0,2,4,9,4,0,3,10,13,1,0,3,11,12,6,0,3,15,7,1,0,1,7,5,6,0,4,7,3,5,0,4,4,4,6,0,3,7,9,6,0,5,10
Hu-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hu,3,3,,0,6,4,4,,0,4,3,0,0,0,3,8,1,0,2,7,7,5,0,4,8,7,3,0,4,6,9,7,0,1,15,3,3,0,1,5,3,9,0,3,9,4,3,0,3,4,2,7,0,2,7,9,7,0,5,11
Ka-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ka,4,1,,0,5,2,1,,0,3,1,1,0,0,1,3,0,0,2,1,5,5,0,2,8,2,4,0,1,0,3,9,0,4,8,6,3,0,2,7,0,7,0,3,4,2,3,0,1,4,0,4,0,2,2,7,4,0,3,8
Er,4,1,,0,5,2,1,,0,3,0,0,0,0,0,1,0,0,1,0,0,5,0,,0,2,3,0,1,0,2,6,0,3,5,1,3,0,1,3,0,5,0,1,4,1,3,0,2,2,1,2,0,1,2,4,3,0,3,4
Pr,5,1,,1,5,0,1,,1,0,0,1,,,,0,1,0,1,0,1,2,0,1,2,0,2,0,1,1,0,3,0,2,1,0,2,0,1,1,1,3,0,2,2,1,4,0,3,2,4,2,0,2,4,7,2,0,4,5
Di,0,1,,1,0,0,1,,1,0,0,1,,,,0,1,0,1,0,0,2,0,1,1,0,2,0,2,0,0,3,0,1,2,0,2,0,1,1,1,2,0,3,0,1,2,0,3,0,4,2,0,2,4,5,3,0,6,2
So,1,1,,1,1,0,1,,1,0,0,1,,,,0,1,0,1,0,2,2,0,2,2,0,2,0,2,0,0,2,0,1,1,0,2,0,1,1,1,2,0,3,0,1,2,0,3,0,3,2,0,2,3,2,6,0,5,3
Pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gi5,1,0,,1,,1,0,,1,0,0,1,0,0,1,1,0,0,1,0,0,2,0,1,1,0,2,0,1,1,3,1,0,2,2,2,1,0,2,1,1,2,0,2,1,1,3,0,3,1,2,2,0,3,1,2,4,0,4,2
Fi,1,0,,1,,1,0,,1,0,2,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,2,0,2,1,0,2,1,4,2,0,2,4,0,2,0,2,0,0,2,0,2,0,2,1,0,3,0
Kr2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge1,,,,,,,,,,,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kr-2,1,0,,1,,1,0,,0,1,3,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg,1,0,,1,,1,0,,1,0,2,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,1,1,,,,,,6,3,0,4,5,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0
Sb,4,0,,1,3,4,0,,1,3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,1,1,2,2,0,3,1,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0
Hf,,,,,,,,0,1,,,,,,,0,1,0,1,0,,,,,,3,1,0,1,3,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0
Wb,,,,,,,,0,1,,,,,,,0,1,0,1,0,,,,,,,,,,,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0
Gs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,,,,,,0,2,0,2,0,,,,,
Zieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Section-1,,,,,Section-2,,,,,Section-3,,,,,Section-4,,,,,Section-5,,,,,Section-6,,,,,section-7,,,,,Section-8,,,,,Section-9,,,,,Section-10,,,,,Section-11,,,,,Section-12,,,,
