,Horizon,length_level2,length_level3
0,T,0.0,1138.932938
1,Q,0.0,1849.988264
2,N,0.0,0.0
3,F,3403.643936,0.0
4,F-2,0.0,0.0
5,Zo2,3975.608508,0.0
6,Zo8,4485.634083,0.0
7,La,0.0,0.0
8,Gu,5217.996666,0.0
9,Ma,5439.791696,0.0
10,Hu,5803.773104,0.0
11,Ka,6402.323136,1647.173823
12,Er,6883.306839,1475.88128
13,Pr,8970.076867,0.0
14,Di,9961.902638,0.0
15,So,9695.511099,0.0
16,Gi5,11706.223349,0.0
17,Fi,10471.218449,0.0
18,Ge1,0.0,0.0
19,Kr-2,0.0,0.0
20,Mg,0.0,7274.55934
21,Sb,1187.418537,5735.579124
22,Hf,0.0,0.0
23,Wb,0.0,0.0
24,Gs,0.0,0.0
