,Horizon,length_level2,length_level3,length_level4
0,T,0.0,1644.895639,0.0
1,Q,760.22009,1356.144622,0.0
2,N,0.0,0.0,0.0
3,F,2369.020881,0.0,246.190517
4,F-2,0.0,0.0,0.0
5,Zo2,5818.360611,1103.035272,639.0077100000001
6,Zo8,4465.591455,858.7003960000001,2276.64505
7,La,3382.408162,228.729231,758.840447
8,Gu,6036.890375,651.924443,2787.161704
9,Ma,3081.616587,2875.965572,3554.377423
10,Hu,2488.048812,6445.293422000001,635.8820780000001
11,Ka,1592.690837,4488.136098,4006.934536
12,Er,238.067205,4204.93179,5702.798486
13,Pr,1010.574609,317.99062200000003,9580.906895
14,Di,1217.074297,155.550641,10272.032655
15,So,1694.179992,0.0,10582.275186
16,Gi5,1795.725216,10934.818597,1451.776222
17,Fi,4368.676527,9188.369851,1794.535605
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,4352.692211,7760.741647,5084.11035
21,Sb,0.0,0.0,16490.203209
22,Hf,0.0,0.0,9974.319768
23,Wb,0.0,0.0,9846.444513999999
24,Gs,0.0,0.0,0.0
