Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,,,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,,,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,,,length,Horizontal length,line_style
#7F603F,#FFFFFF,#FFDF7F,#1F3F3F,#FFFFFF,#FFE27F,,,#3F527F,#7DBF5F,#FFFFFF
,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,,,dimension,dimension,dimensionless
246,Ground surface,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Ground surface,#aa5500,,,10576.514484,10506.834483,1
250,Aa,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Aa,#e6a748,,,671.025281,652.792198,2
252,T,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,T,#defd64,,,1138.932938,1097.109336,2
254,Q,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Q,#00bb00,,,1849.988264,1799.187525,2
313,F,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,F,#00ff00,,,1051.599768,1023.075200,1
315,F,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,F,#00ff00,,,2053.771224,2020.607725,1
316,F,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,F,#00ff00,,,298.272944,254.902689,1
317,Zo2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,,,1136.913869,1110.519371,1
319,Zo2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,,,161.479263,144.562715,1
320,Zo2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,,,17.346644,16.433201,1
321,Zo2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,,,1074.147317,1058.691428,1
322,Zo2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,,,72.409900,72.401189,1
323,Zo2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,,,462.468405,453.162383,1
324,Zo2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,,,977.506560,920.474259,1
325,Zo2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,,,73.336550,63.099959,1
326,Zo8,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,,,1316.806848,1287.308657,1
328,Zo8,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,,,1148.275827,1115.559348,1
329,Zo8,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,,,241.750131,230.776628,1
330,Zo8,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,,,1778.801277,1663.111868,1
331,Gu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,,,2104.574809,2055.561220,1
333,Gu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,,,163.862808,162.936561,1
334,Gu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,,,61.717264,61.520940,1
335,Gu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,,,343.636503,337.775401,1
