Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#3D3F1F,#3F627F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#7F713F,#5FAEBF,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
2937,T,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,278.490666,277.265347,2
2939,T,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,1294.030335,1252.565732,2
2940,T,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,125.967239,29.848716,4
2942,T,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,158.379256,115.421578,4
2943,T,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,245.709153,244.645894,1
2946,Q,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,308.011087,305.359268,2
2947,Q,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,988.663330,967.916477,2
2948,Q,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,528.553589,461.911579,2
2950,Q,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,238.926297,71.905507,1
2951,Q,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,214.746176,213.175338,1
